urls,ids
https://www.sueddeutsche.de/politik/brexit-eu-1.4658805_1a,a2eca32c-a4d5-4508-b61e-ab1ce46143e0
https://www.sueddeutsche.de/politik/brexit-je-wuetender-hulk-wird-desto-staerker-wird-hulk-1.4601091_1a,5d033d68-6845-4a5c-9595-1ae35fb55c4d
https://www.sueddeutsche.de/politik/konversionstherapie-verbot-spahn-1.4482284_1a,6fdb9072-d766-48a4-9050-e37a31cbef56
https://www.sueddeutsche.de/politik/trump-ukraine-affaere-botschafter-aussage-1.4669858_1a,ae61729b-dec8-40ae-93bd-e44085532b05
https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b
https://www.sueddeutsche.de/politik/trump-daenemark-groenland-frederiksen-1.4570611_1a,3de5abb4-9aa5-4042-8c6d-4ce15774b5f3
https://www.sueddeutsche.de/politik/plastiktueten-meere-aus-muell-1.4560326_1a,15f6d24e-8fdb-4bb2-97f5-51060dc18d6a
https://www.sueddeutsche.de/politik/sara-netanjahu-korruption-strafe-prozess-1.4483837_1a,6a237d9b-6243-4eb8-bdaa-37d73bac1ee0
https://www.sueddeutsche.de/politik/kurdengebiete-tuerkei-und-usa-einigen-sich-auf-waffenruhe-in-nordsyrien-1.4645866_1a,4c3e1564-3e0e-4fae-9a35-f90871c6d8d7
https://www.sueddeutsche.de/politik/proteste-hongkong-china-1.4676623_1a,82a82574-4b8b-4572-a0ce-93b0bcbb56f8
