urls,ids
https://www.sueddeutsche.de/politik/brexit-eu-1.4658805_1a,7631ec3e-d12d-4df4-ad8e-0f5a8a9b78c5
https://www.sueddeutsche.de/politik/brexit-je-wuetender-hulk-wird-desto-staerker-wird-hulk-1.4601091_1a,63cbc6fe-7e0c-476e-97f6-c22873264c5d
https://www.sueddeutsche.de/politik/konversionstherapie-verbot-spahn-1.4482284_1a,774da6d4-60bc-4b79-a280-d18b76a98fec
https://www.sueddeutsche.de/politik/trump-ukraine-affaere-botschafter-aussage-1.4669858_1a,c947c00e-7677-4121-a1cc-ae8019c9c673
https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,ca731d6b-288f-4928-8fed-e9d21f098691
https://www.sueddeutsche.de/politik/trump-daenemark-groenland-frederiksen-1.4570611_1a,aa885e56-bcb4-488d-9d0e-738daa2e28cb
https://www.sueddeutsche.de/politik/plastiktueten-meere-aus-muell-1.4560326_1a,2425c66a-de27-4b51-86f8-03160dfb5445
https://www.sueddeutsche.de/politik/sara-netanjahu-korruption-strafe-prozess-1.4483837_1a,15e0f4ca-943c-4fda-88da-79b08d4da45e
https://www.sueddeutsche.de/politik/kurdengebiete-tuerkei-und-usa-einigen-sich-auf-waffenruhe-in-nordsyrien-1.4645866_1a,6490d002-ae49-48b3-8945-57c12b2e5d6b
https://www.sueddeutsche.de/politik/proteste-hongkong-china-1.4676623_1a,04bdc461-ab6d-40ac-9ff2-715423c06a0f
